treat;selection;outcome
0;1;1.832581464
0;1;1.871802177
0;0;0
1;1;2.772588722
1;0;0
1;1;1.695615609
1;1;2.397895273
0;1;1.832937446
1;1;1.871802177
0;1;1.981001469
1;1;2.621038824
0;1;1.686398954
1;0;0
1;1;1.945910149
1;0;0
0;1;2.708050201
0;0;0
1;0;0
1;0;0
0;0;0
0;0;0
0;1;1.905088155
1;1;0.901901994
0;1;1.713797928
1;1;1.832581464
0;1;1.846481169
1;1;1.763588592
0;0;0
1;1;1.871802177
1;0;0
1;0;0
0;0;0
1;0;0
1;0;0
1;0;0
0;0;0
1;0;0
1;1;2.302585093
1;1;1.791759469
1;0;0
1;1;1.714798428
0;1;1.832581464
0;1;2.032087845
1;0;0
1;0;0
1;0;0
1;1;1.945910149
1;0;0
0;1;1.859794027
1;0;0
1;0;0
1;1;2.151762203
1;0;0
1;1;1.871802177
1;1;1.284015512
1;1;1.871802177
0;1;2.079441542
1;1;1.638996715
1;0;0
0;1;3.066190737
0;1;2.028468935
1;1;1.749199855
1;0;0
0;1;1.871802177
0;0;0
1;0;0
1;0;0
1;1;2.197224577
0;0;0
1;1;2.397895273
0;0;0
1;0;0
0;0;0
1;1;2.079441542
0;0;0
1;1;1.791759469
1;0;0
0;1;1.987874348
1;1;2.302585093
1;0;0
1;1;3.064725145
1;1;2.054123734
0;1;1.648658626
1;0;0
1;1;2.079441542
1;0;0
1;1;2.054123734
1;1;2.079441542
1;1;2.302585093
0;0;0
0;1;2.068059675
1;0;0
1;1;1.791759469
1;0;0
1;1;1.704748092
0;1;1.871802177
0;0;0
0;1;1.791759469
0;0;0
1;0;0
0;1;1.791759469
1;0;0
1;1;2.251291799
1;1;1.098612289
1;1;2.192770227
0;1;2.100060829
1;1;1.871802177
1;1;2.351375257
0;0;0
1;1;2.282382386
1;0;0
0;1;1.252762968
0;1;2.302585093
1;0;0
1;1;2.079441542
0;0;0
1;0;0
1;1;1.945910149
1;1;1.650259907
0;1;2.014903021
1;0;0
0;1;1.871802177
0;0;0
1;0;0
1;1;1.998632924
1;1;2.079441542
1;1;2.079441542
0;0;0
1;1;2.302585093
1;1;-1.243193517
0;1;2.944438979
1;0;0
1;0;0
1;0;0
1;1;1.811562097
1;1;2.047692843
0;1;1.791759469
1;1;2.351375257
1;0;0
0;0;0
1;0;0
1;1;2.1690537
1;1;2.302585093
0;0;0
1;1;2.302585093
1;1;2.157559321
0;0;0
1;1;2.140066163
0;1;1.704748092
1;1;2.197224577
1;1;2.199444334
0;1;1.704748092
0;1;2.351375257
1;1;2.251291799
1;0;0
0;0;0
1;1;1.670062534
1;0;0
0;1;2.197224577
0;1;2.140066163
1;0;0
0;0;0
1;1;1.945910149
0;1;2.1102132
1;1;2.33698652
1;1;0.741937345
1;0;0
1;0;0
1;1;1.982379829
0;0;0
0;1;2.079441542
1;1;2.397895273
1;0;0
1;1;2.081549785
1;0;0
0;1;1.704748092
1;1;1.909542505
0;1;1.967889056
1;1;2.00148
1;0;0
1;1;2.48490665
1;1;2.397895273
1;1;1.909542505
0;0;0
0;1;1.871802177
0;0;0
1;0;0
1;0;0
0;0;0
1;1;2.1102132
1;0;0
1;1;2.397895273
0;1;2.446455463
1;0;0
0;0;0
1;1;2.03858953
1;0;0
1;1;2.140066163
1;0;0
1;1;2.39059597
1;1;2.079441542
1;0;0
0;1;2.058388132
1;0;0
0;1;2.48490665
1;0;0
1;0;0
0;1;1.945910149
0;0;0
1;0;0
1;0;0
1;1;2.833213344
1;0;0
0;1;2.197224577
0;1;2.939690883
0;1;1.704748092
1;1;2.197224577
1;1;2.282925006
0;0;0
1;1;2.302585093
0;1;1.625474911
1;1;1.530164732
1;1;2.197224577
1;1;1.749199855
0;0;0
1;1;1.945910149
0;1;2.079441542
1;1;2.00148
1;1;1.860752341
0;1;1.749199855
0;1;2.079441542
1;1;2.197224577
0;1;1.749199855
1;0;0
1;1;3.501738611
0;0;0
1;1;1.832581464
1;1;1.945910149
1;1;2.129832987
0;0;0
0;0;0
1;1;2.079441542
1;0;0
1;0;0
0;0;0
1;1;1.139434283
1;0;0
0;0;0
0;1;1.791759469
0;0;0
1;1;2.151762203
0;0;0
0;1;2.35867456
0;0;0
1;1;1.638996715
1;1;1.638996715
0;1;2.372789352
1;0;0
1;0;0
1;1;1.791759469
1;0;0
0;1;1.995030008
1;0;0
1;1;2.140066163
1;0;0
1;1;2.351375257
1;0;0
0;1;1.704748092
1;0;0
0;1;2.079441542
1;1;2.152758226
0;1;1.791759469
1;1;2.014903021
1;0;0
1;1;2.079441542
1;1;1.981001469
1;1;2.564949357
0;0;0
1;1;1.704748092
0;0;0
1;0;0
0;1;1.791759469
0;1;2.041220329
1;0;0
1;1;1.945910149
1;0;0
1;0;0
1;1;2.260600233
1;0;0
1;0;0
0;0;0
0;1;2.014903021
0;1;2.224623552
1;1;2.140066163
1;1;1.731655545
1;1;2.1102132
1;1;1.832581464
1;1;1.945910149
0;0;0
0;1;1.945910149
1;1;2.302585093
0;1;2.197224577
1;0;0
0;1;1.871802177
1;0;0
1;0;0
0;0;0
1;0;0
0;1;1.871802177
1;1;2.014903021
1;1;1.754402116
0;0;0
0;0;0
1;1;2.364620484
0;1;1.894616855
1;0;0
1;1;2.349044501
0;1;1.749199855
1;0;0
1;0;0
1;1;1.909542505
0;0;0
0;1;1.638996715
1;0;0
1;1;2.291524146
1;1;2.242835089
1;1;0
1;1;3.218875825
0;1;2.351375257
1;0;0
0;1;2.24495598
1;0;0
0;1;3.688879454
0;1;2.33698652
1;1;1.749199855
1;0;0
0;1;1.749199855
1;1;1.937941979
0;1;1.791759469
0;0;0
1;1;2.079441542
1;1;2.144761008
0;1;1.427116356
1;1;0
0;1;1.945910149
0;0;0
1;0;0
0;0;0
1;1;2.140066163
0;1;2.197224577
1;1;1.300489478
1;1;1.832581464
1;0;0
0;1;1.945910149
1;1;2.526528324
0;0;0
1;0;0
1;1;2.197224577
0;1;2.014903021
0;0;0
1;1;2.251291799
0;1;2.197224577
0;1;1.791759469
1;1;2.014903021
0;1;2.028148247
1;1;2.197224577
1;1;1.791759469
0;1;2.047692843
1;0;0
1;0;0
1;1;1.945910149
1;0;0
0;0;0
1;0;0
1;0;0
1;0;0
0;1;1.638996715
1;1;2.140066163
0;0;0
0;0;0
1;1;2.847812143
0;0;0
1;0;0
0;1;1.953799737
1;1;2.079441542
1;1;1.871802177
1;0;0
1;1;2.089391873
1;1;1.92766167
1;1;1.090644119
1;1;1.609815913
0;1;1.945910149
1;1;2.407945609
1;0;0
0;1;3.218875825
1;1;2.277267285
1;0;0
1;0;0
1;1;2.109461603
1;1;1.704748092
1;1;2.105352923
0;1;2.48490665
1;1;1.638996715
0;1;2.014903021
1;0;0
1;0;0
0;1;1.832581464
1;1;1.832581464
0;0;0
1;1;2.308342161
0;1;1.967112357
1;1;1.193692495
0;0;0
0;1;1.832581464
1;1;1.871802177
0;0;0
0;0;0
1;1;1.85629799
1;1;1.909542505
0;0;0
0;0;0
0;0;0
1;1;1.638996715
1;0;0
1;0;0
1;1;1.704748092
1;0;0
0;1;2.995732274
1;1;2.277267285
0;1;2.545531272
0;1;1.791759469
1;0;0
0;0;0
1;1;0
1;1;1.832581464
0;0;0
0;0;0
1;1;2.242766598
1;0;0
1;0;0
1;0;0
0;1;1.704748092
1;0;0
0;0;0
1;1;2.047692843
1;1;2.525728644
1;0;0
1;1;1.871802177
0;0;0
1;0;0
1;0;0
0;0;0
1;1;2.079441542
1;0;0
0;0;0
1;1;2.014903021
1;0;0
1;0;0
1;1;1.871802177
0;1;2.774190004
1;1;2.674148649
1;1;1.695615609
1;0;0
1;1;1.993542005
1;0;0
0;1;1.609437912
1;1;2.302585093
1;0;0
0;0;0
1;1;2.079441542
1;1;2.708050201
1;0;0
1;0;0
0;1;0.810930216
1;1;1.897119985
0;0;0
0;1;2.302585093
1;0;0
1;0;0
0;1;3.161717411
1;0;0
1;1;2.818398258
1;1;2.215937286
0;0;0
1;1;2.302585093
1;1;2.256541154
1;0;0
1;1;1.945910149
0;1;2.098017927
1;1;2.327277706
1;1;2.140066163
0;1;1.945910149
0;0;0
1;0;0
0;1;1.653224824
1;1;2.251291799
0;1;2.014903021
1;1;1.871802177
1;1;2.014903021
0;0;0
1;1;2.803360381
1;1;2.277267285
0;0;0
1;1;1.945910149
1;0;0
1;0;0
1;0;0
1;1;2.1102132
0;0;0
1;0;0
0;0;0
0;1;0
0;0;0
0;1;2.197224577
1;1;1.800058272
1;1;1.098382315
1;0;0
1;1;1.791759469
0;1;1.945910149
1;1;1.791759469
0;1;1.897119985
1;0;0
1;1;2.158773391
0;0;0
0;1;2.63905733
1;0;0
1;1;1.791759469
0;1;2.073171929
1;1;2.095560924
1;0;0
1;0;0
0;1;2.197224577
1;0;0
0;0;0
0;0;0
0;0;0
1;1;1.704748092
1;1;2.105874799
0;1;2.079441542
0;0;0
1;1;1.16938136
0;0;0
1;1;2.564949357
0;0;0
1;0;0
1;0;0
0;0;0
1;0;0
0;1;1.791759469
0;0;0
0;0;0
1;0;0
1;0;0
0;0;0
1;1;1.638996715
1;0;0
1;1;2.48490665
1;1;1.791759469
0;0;0
1;1;2.397895273
0;1;2.014903021
1;0;0
1;1;2.174521748
0;0;0
1;0;0
1;0;0
0;0;0
1;1;1.967112357
0;0;0
1;1;2.251291799
1;1;2.308567165
1;0;0
1;0;0
0;0;0
1;1;2.302585093
1;1;2.140066163
1;0;0
1;0;0
1;1;1.638996715
1;1;1.909542505
1;0;0
1;1;2.251291799
0;1;3.218875825
1;1;1.816452082
0;1;1.816452082
1;1;2.302585093
1;0;0
0;1;2.525728644
0;0;0
0;1;0
1;0;0
1;1;1.749199855
1;1;1.871802177
1;0;0
1;0;0
1;0;0
0;1;2.140066163
1;1;2.772588722
1;1;1.832581464
0;1;1.704748092
1;1;1.881945187
0;0;0
0;0;0
0;0;0
1;0;0
0;1;2.575878428
1;1;2.079441542
0;1;1.871802177
1;0;0
0;1;2.120263536
0;0;0
1;1;1.871802177
1;1;1.791759469
1;1;2.047692843
0;1;1.791759469
1;1;0
1;1;2.079441542
0;1;2.302585093
1;1;2.079441542
0;1;1.272965676
0;0;0
1;0;0
1;1;1.945910149
